Tempo (s),Posicao X,Posicao Y
23.990633333333335,215,595
24.007316666666668,219,596
24.024,223,596
24.040683333333334,228,596
24.05736666666667,232,596
24.07405,237,596
24.090733333333336,242,596
24.10741666666667,246,597
24.124100000000002,251,597
24.140783333333335,256,597
24.157466666666668,260,597
24.17415,266,597
24.190833333333334,270,597
24.207516666666667,275,597
24.2242,279,597
24.240883333333336,284,596
24.25756666666667,288,596
24.274250000000002,293,595
24.290933333333335,297,595
24.307616666666668,300,595
24.3243,304,595
24.340983333333334,307,594
24.357666666666667,310,594
24.37435,313,593
24.391033333333336,316,593
24.40771666666667,318,593
24.424400000000002,320,593
24.441083333333335,321,593
24.457766666666668,322,593
24.47445,323,593
24.491133333333334,324,593
24.507816666666667,324,592
24.5245,323,593
24.541183333333336,323,593
24.55786666666667,322,593
24.574550000000002,321,593
24.591233333333335,319,593
24.607916666666668,317,593
24.6246,315,593
24.641283333333334,313,594
24.657966666666667,310,594
24.67465,306,594
24.691333333333336,303,595
24.70801666666667,300,595
24.724700000000002,297,595
24.741383333333335,293,596
24.758066666666668,290,596
24.77475,284,596
24.791433333333334,281,597
24.80811666666667,276,597
24.8248,272,597
24.841483333333336,266,598
24.85816666666667,262,598
24.874850000000002,257,598
24.891533333333335,252,598
24.908216666666668,247,598
24.9249,243,598
24.941583333333334,238,598
24.958266666666667,233,597
24.97495,229,598
24.991633333333336,225,597
25.00831666666667,220,597
25.025000000000002,216,597
25.041683333333335,212,597
25.058366666666668,209,597
25.07505,205,597
25.091733333333334,202,597
25.108416666666667,198,596
25.1251,196,596
25.141783333333336,193,596
25.15846666666667,191,596
25.175150000000002,188,595
25.191833333333335,186,595
25.208516666666668,184,595
25.2252,183,595
25.241883333333334,182,595
25.258566666666667,180,595
25.27525,180,595
25.291933333333336,180,595
25.30861666666667,181,595
25.325300000000002,181,595
25.341983333333335,182,595
25.358666666666668,184,595
25.37535,186,595
25.392033333333334,187,596
25.408716666666667,190,596
25.4254,192,596
25.442083333333336,195,596
25.45876666666667,199,596
25.475450000000002,202,596
25.492133333333335,205,597
25.508816666666668,209,597
25.5255,213,598
